Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,
"C2, C3, C4, C5",0402,4,100nF,
F1,0ZCM_BEL,1,0ZCM0005FF2G (PTC_FUSE),
IC1,WLP-4_0.83x0.83mm_P0.4mm,1,LM94023BITMX_NOPB,
U1,SOIC8-TLE5009,1,TLE5009E1000FUMA1,
U2,ST_UFQFPN-20_3x3mm_P0.5mm,1,STM32L011F4Ux,
U3,c-2386587-1,1,c-2386587-1,
U4,5040500391,1,5040500391,
