Designator,Mid X,Mid Y,Rotation,Layer
C1,-4.32,-0.69,0.0,top
C2,-2.55,-2.44,90.0,top
C3,-4.47,0.09,0.0,top
C4,-2.55,-3.82,270.0,top
C5,-5.15,-5.02,180.0,top
F1,-21.9,10.8,270.0,top
IC1,-24.05,-7.6605,180.0,bottom
M1,-17.2,10.541,0.0,top
M2,-17.19,13.08,180.0,top
M3,-17.19,11.81,180.0,top
M6,-0.28,-4.14,0.0,top
U1,0.0,0.0,324.0,top
U2,-4.75,-2.9,90.0,top
U3,-50.292,-12.4841,270.0,bottom
U4,-17.1,8.75,0.0,top
